,SMILES,EState_VSA6,PEOE_VSA5,fr_sulfonamd,NumAromaticHeterocycles,Chi3v,MolLogP,MinAbsEStateIndex,PEOE_VSA7,PEOE_VSA4
525,CC(=O)c1c(COC(=O)c2ccco2)nc2ccccc2[n+]1[O-],30.33183534230805,0.0,0,2,3.228198575731132,2.0208,0.0325594188292603,18.19910120538483,4.7304076419062255
526,CC(=O)c1ccc(OCC(=O)N[C@@H]2CCS(=O)(=O)C2)cc1,24.26546827384644,0.0,0,0,4.996266999748579,0.5712999999999999,0.007888338913772,37.61002709646307,0.0
527,CC(=O)c1cccc(NC(=O)N[C@H](C)c2ccncc2)c1,36.6591554170726,0.0,0,1,3.080670619306653,3.166900000000002,0.0377668750134476,43.67639416492468,0.0
528,CC(=O)c1cnc(Nc2nc(C)c3ccc(C)cc3n2)nc1C,6.923737199690624,0.0,0,2,3.625214235379652,3.291260000000002,0.0534029690847868,39.32476735892111,0.0
529,CC(C)(C)NC(=O)CSc1nnnn1C(C)(C)C,4.681802935145185,5.098681808301038,0,1,2.842403723795457,1.4348999999999994,0.0176303854875279,51.96919338945348,0.0
530,CC(C)(C)NC(=O)NC(=O)Cn1cc(C(F)(F)F)ccc1=O,20.771211599071872,0.0,0,1,2.3662268621294533,1.4913999999999998,0.5313257038926682,26.83757866753348,13.17124514302446
531,CC(C)(C)[NH2+]C[C@@H](O)c1cc(Cl)c(N)c(Cl)c1,12.13273413692322,0.0,0,0,3.0650595703854693,1.9709,0.0718029966616273,38.46739722769209,0.0
532,CC(C)(C)c1ccc(C(=O)CSc2ncn[nH]2)cc1,0.0,0.0,0,1,3.6824597952154328,3.0772000000000013,0.098943688586546,10.978441961093775,5.098681808301038
533,CC(C)C(=O)Nc1cc(C(F)(F)F)ccc1N1CCOCC1,13.847474399381248,0.0,0,0,3.457898654240563,3.1365000000000016,0.1902083333333337,18.19910120538483,13.17124514302446
534,CC(C)CNC(=O)CN(C1CCCCC1)S(C)(=O)=O,0.0,0.0,1,0,4.694082783221016,1.352899999999999,0.0059722222222222,18.75954929201341,4.305215991296234
535,CC(C)Cc1nnc(NC(=O)CSc2ncn[nH]2)s1,0.0,10.197363616602075,0,2,3.766628903260303,1.5854999999999997,0.1308824640967496,5.917906046161393,5.098681808301038
536,CC(C)n1c(NCc2cccs2)nc2ccccc21,11.336785877934735,11.336785877934735,0,2,3.9894274627477913,4.290800000000003,0.387255291005291,37.426638375232,0.0
537,CC([NH3+])=C(C#N)C(=O)COc1ncnc2ccccc12,6.923737199690624,0.0,0,1,2.6636685884254283,0.6171799999999995,0.0170015537079033,12.13273413692322,5.261891554738487
538,CC/C(=C1/C(=O)CC(C)(C)[C@H](C(=O)OC)C1=O)[NH+]1CCCC1,13.847474399381248,0.0,0,0,4.911174400548661,0.6865000000000003,0.1190712396069537,5.41499046939678,0.0
539,CC1(C)C(=O)C2(CCCC2)C(=O)O[C@@H]1c1ccco1,12.13273413692322,0.0,0,1,4.549664582192165,3.0332000000000017,0.0093981481481486,38.821851782156486,0.0
540,CC1(C)CC(=O)C=C(Nc2cc(-c3ccccc3)[nH]n2)C1,6.076020106833881,0.0,0,1,3.608288084959912,3.7616000000000014,0.0066804085614959,17.399263584019785,5.098681808301038
541,CC1(C)[C@@]2(C(=O)NCc3ccccn3)CC[C@]1(C)C(=O)O2,6.196843571613076,0.0,0,1,5.606550912092554,1.8197,0.2150666099773239,31.898114582465865,0.0
542,CCC(=O)Nc1cc(-c2nn3c(C)nnc3s2)ccc1C,4.515397893615623,10.197363616602075,0,2,4.174354310677957,2.8181400000000014,0.0039222201226172,25.47729295953985,9.61407970191666
543,CCCCC(=O)Nc1ccc(NC(=O)C2CC2)cn1,18.3295777085363,0.0,0,1,3.00404150381598,2.5588000000000006,0.0239666792642976,31.395199005701247,0.0
544,CCCCCn1c(N)c(C#N)c2nc3ccccc3nc21,0.0,0.0,0,2,3.688629795781024,3.228580000000001,0.4303254913076342,18.55355575984923,5.261891554738487
545,CCCCNC(=O)CC(=O)Nc1ccccc1C(=O)[O-],6.06636706846161,0.0,0,0,2.594679937356446,0.2949999999999995,0.1182952330891542,12.48718869138762,0.0
546,CCCCOC(=O)[C@H]1CCC[C@H](C(=O)OCCCC)[NH2+]1,0.0,0.0,0,0,3.5847950932847525,1.1575,0.1902701929537242,19.26246486877803,0.0
547,CCCCOc1ccc(S(=O)(=O)N2CCCCCC2)cc1,28.570684265142678,0.0,1,0,5.706027588651268,3.430200000000003,0.3678162267993619,43.52793314262447,4.305215991296234
548,CCCCn1nc(CC(=O)[O-])c2ccccc2c1=O,24.26546827384644,0.0,0,1,2.9794816783760885,0.4889999999999999,0.1748630007558576,12.48718869138762,5.098681808301038
549,CCCN1C(=O)[C@](O)(C/C(C)=N/O)c2ccccc21,23.95638106746432,0.0,0,0,3.3689618854453136,1.871,0.0004355631141348,19.410925891078243,0.0
550,CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,24.26546827384644,0.0,0,0,3.532060230979269,3.115200000000001,0.1677393287561934,24.14596636666304,0.0
551,CCCS(=O)(=O)NCc1cn2cccc(C)c2[nH+]1,0.0,0.0,1,2,4.283750032958223,0.8912199999999995,0.1660704837490552,25.47729295953985,0.0
552,CCCc1ccc([C@@H](C)NC(=O)c2cnccn2)cc1,6.196843571613076,0.0,0,1,3.161808857975732,2.9201000000000006,0.0553864323507184,24.471461806010623,0.0
553,CCCc1n[nH]c2c1[C@H]([C@H]1CC=CCC1)C(C#N)=C([NH3+])O2,0.0,0.0,0,1,4.383892542723016,2.17158,0.0662037037037033,31.60119253786543,10.360573363039524
554,CCCn1c(C)nc2c(NCC[NH+](C)C)nc(C)nc21,0.0,0.0,0,2,3.261981655277329,0.4095400000000004,0.7865306122448983,20.268296022307258,0.0
