,NumAromaticRings,FractionCSP3,NumAromaticHeterocycles,fr_Ar_N,SPS,SlogP_VSA8,NumSaturatedRings,NumAliphaticRings,BCUT2D_CHGHI,SlogP_VSA6
0,1,0.16666666666666666,1,3,9.545454545454545,5.573104530069267,0,0,1.9995021028324966,6.578935683598497
1,2,0.15384615384615385,1,0,10.470588235294118,10.969244356107037,0,0,2.036407523787902,45.088378430683704
2,0,0.45454545454545453,0,0,9.066666666666666,0.0,0,0,2.025366684855345,25.309911580864757
3,2,0.16666666666666666,1,2,10.411764705882353,11.033401435232523,0,0,2.1653569194840774,41.71496124835064
4,1,0.2,1,2,9.933333333333334,0.0,0,0,2.068967652465858,41.09582952062147
5,2,0.14285714285714285,1,0,10.0,0.0,0,0,2.0916996188818975,47.07851634346206
6,1,0.4,1,1,11.375,0.0,0,0,2.4289067481411646,12.263210640074686
7,1,0.375,1,0,13.307692307692308,0.0,0,0,2.2319749444431496,22.668509634139674
8,2,0.3333333333333333,2,4,10.9375,5.777653723919194,0,0,2.10681852472104,17.188224327297974
9,2,0.5,1,2,12.176470588235293,11.033401435232523,0,0,2.1861250833123105,24.26546827384644
10,2,0.2,1,1,10.38888888888889,0.0,0,0,2.0544429930168686,48.791889553995816
11,2,0.07142857142857142,0,0,11.1875,0.0,0,0,1.997067732440823,60.6636706846161
12,1,0.5,0,0,10.352941176470589,0.0,0,0,2.1340285800037617,24.26546827384644
13,2,0.25,1,1,12.2,10.902924932081056,0,0,2.0850199791076296,35.618024572210054
14,2,0.3333333333333333,2,4,10.5625,5.777653723919194,0,0,2.071735981805491,17.188224327297974
15,1,0.5,0,0,14.8,0.0,0,0,2.0887193214898576,30.33183534230805
16,2,0.2857142857142857,1,1,10.5,10.902924932081056,0,0,2.1193617686460557,35.126372526379875
17,0,0.8571428571428571,0,0,15.5,0.0,0,0,2.0564924250753105,0.0
18,2,0.23076923076923078,1,1,10.5,10.902924932081056,0,0,2.090456989022552,24.395944776997908
19,1,0.6,0,0,14.555555555555555,0.0,0,0,2.285346610759241,24.26546827384644
20,1,0.5,0,0,10.0,0.0,0,0,1.9697770235926553,24.26546827384644
21,2,0.4,1,2,12.411764705882353,11.033401435232523,0,0,2.2499717386591924,27.72362361779595
22,2,0.3333333333333333,1,2,10.5625,11.033401435232523,0,0,2.056091738221405,24.26546827384644
23,1,0.2222222222222222,0,0,13.9375,0.0,0,0,2.096456940544102,33.52365104044639
24,2,0.35714285714285715,1,1,10.61111111111111,10.902924932081056,0,0,2.0436493708353396,24.26546827384644
25,2,0.15384615384615385,0,0,10.0625,10.772448428929591,0,0,2.0416190984199747,42.46456947923127
26,1,0.36363636363636365,1,1,9.625,0.0,0,0,2.1268757842926025,18.19910120538483
27,1,0.3,0,0,9.571428571428571,0.0,0,0,2.0452415972416778,18.19910120538483
28,1,0.38461538461538464,0,0,15.5,0.0,1,1,2.220193123611503,24.26546827384644
29,1,0.9166666666666666,1,4,19.333333333333332,0.0,1,1,2.236498319191001,0.0
30,1,0.375,0,0,25.842105263157894,0.0,1,2,2.476146164358193,36.417508487514205
31,3,0.16666666666666666,2,3,11.0625,16.21825240931749,0,0,2.146458021289367,36.52867891392113
32,1,0.6666666666666666,1,2,16.357142857142858,0.0,1,1,2.2527864684903354,0.0
33,2,0.5,2,4,10.6875,0.0,0,0,2.032716433164275,6.06636706846161
34,1,0.4166666666666667,0,0,10.470588235294118,0.0,0,0,2.106314883697005,18.19910120538483
35,1,0.4,0,0,14.294117647058824,0.0,0,1,2.1528392548068553,18.19910120538483
36,1,0.2727272727272727,0,0,9.375,0.0,0,0,2.05420856124624,24.26546827384644
37,2,0.2,1,1,10.466666666666667,11.099720859258504,0,0,2.078160997104395,33.90537511674648
38,0,0.7142857142857143,0,0,23.083333333333332,0.0,1,1,2.2743204899475207,0.0
39,1,0.42857142857142855,0,0,23.0,0.0,1,1,2.4881655942199714,30.33183534230805
40,1,0.2222222222222222,0,0,9.642857142857142,0.0,0,0,2.1432108995178245,12.13273413692322
41,1,0.25,0,0,9.444444444444445,0.0,0,0,2.1298690500917985,24.26546827384644
42,2,0.18181818181818182,1,2,10.0,11.454175413722904,0,0,2.1515468475986177,28.788563210819788
43,2,0.5,2,4,11.0,11.16387793838399,0,0,2.0941437861623333,9.589074368143644
44,2,0.4166666666666667,1,2,11.133333333333333,11.033401435232523,0,0,2.036449901327694,18.460054211687762
45,1,0.4444444444444444,1,1,10.384615384615385,0.0,0,0,2.0873929291950164,6.196843571613076
46,1,0.2,0,0,9.466666666666667,0.0,0,0,2.0749711999921034,18.19910120538483
47,1,0.4166666666666667,0,0,15.1875,0.0,1,1,2.1659186861449986,18.19910120538483
48,2,0.18181818181818182,1,2,10.266666666666667,5.687386274683562,0,0,1.9979821899941783,30.33183534230805
49,1,0.3333333333333333,0,0,14.647058823529411,0.0,1,1,2.251625654240267,24.26546827384644
50,2,0.25,0,0,11.947368421052632,0.0,0,0,2.066826135455286,48.53093654769288
51,1,0.36363636363636365,0,0,13.823529411764707,0.0,0,0,2.063473132314452,24.26546827384644
52,1,0.4,0,0,12.214285714285714,0.0,0,0,2.0266531066232107,24.26546827384644
53,3,0.07692307692307693,2,2,10.5,23.038827330597275,0,0,2.1459408270732174,51.601611280435414
54,1,0.3076923076923077,0,0,15.5,0.0,0,1,2.191380805261339,35.53561211697154
55,1,0.3333333333333333,1,0,15.785714285714286,0.0,0,1,2.3190219076858103,17.512796907389134
56,1,0.3333333333333333,0,0,9.875,0.0,0,0,2.0241058103204335,24.26546827384644
